1 1:5395 2:149.9402502 3:46.86982604 4:0.94988814 5:5517 6:82.88019874 7:0.4391534392 8:328.862 9:0.6268648605 10:3.199078445
1 1:6354 2:157.2884011 3:52.01028556 4:0.9437470458 5:6464 6:89.94533933 7:0.8305882353 8:345.378 9:0.6693722962 10:3.024178765
1 1:5371 2:147.6852683 3:47.3818347 4:0.947136865 5:5536 6:82.69564435 7:0.4865476945 8:326.798 9:0.6319842227 10:3.116917469
1 1:6115 2:156.4986576 3:51.16560155 4:0.9450452513 5:6302 6:88.23751932 7:0.7183975564 8:345.676 9:0.6430842446 10:3.058669357
1 1:5150 2:135.2528957 3:48.89652623 4:0.932364643 5:5267 6:80.97643889 7:0.533126294 8:302.211 9:0.7085925097 10:2.766104387
1 1:6332 2:158.0228207 3:51.90701204 4:0.9445116395 5:6479 6:89.78949157 7:0.7438909774 8:350.208 9:0.6487817799 10:3.044344387
1 1:6272 2:156.8881232 3:52.62872564 4:0.9420566393 5:6514 6:89.36307081 7:0.5726807889 8:350.664 9:0.6409638685 10:2.981035952
0 1:9508 2:165.3304684 3:73.90226276 4:0.8945353369 5:9758 6:110.0270948 7:0.7955153949 8:392.576 9:0.775267442 10:2.237150288
0 1:8856 2:160.4451143 3:70.74542382 4:0.8975403939 5:9013 6:106.1876142 7:0.7008547009 8:378.418 9:0.7771482972 10:2.267922159
0 1:7014 2:140.6766883 3:64.56492737 4:0.8884570981 5:7144 6:94.50133421 7:0.6306419709 8:338.599 9:0.7687839063 10:2.178840649
0 1:9454 2:166.1221638 3:73.44111748 4:0.8969701927 5:9922 6:109.7142044 7:0.5979759646 8:419.399 9:0.6754149678 10:2.261977615
1 1:5865 2:152.8154561 3:49.91317327 4:0.9451544095 5:6237 6:86.41498672 7:0.6716674301 8:349.737 9:0.60255226 10:3.061625741
0 1:8664 2:154.3065674 3:72.23269825 4:0.8836693415 5:8883 6:105.0302214 7:0.6460850112 8:372.383 9:0.7851427321 10:2.136242604
1 1:6458 2:157.6118458 3:54.01430793 4:0.9394432087 5:6654 6:90.67844827 7:0.5740444444 8:354.675 9:0.6451292749 10:2.917964736
1 1:6603 2:164.1624591 3:51.62445518 4:0.9492668333 5:6756 6:91.6907886 7:0.4915872543 8:360.888 9:0.6370980538 10:3.179935914
1 1:6477 2:159.8840073 3:52.59812557 4:0.9443380113 5:6640 6:90.81174225 7:0.495714067 8:353.767 9:0.6503529636 10:3.039728233
1 1:5787 2:147.6216958 3:50.85729452 4:0.9387822896 5:5913 6:85.83843688 7:0.5018210198 8:328.802 9:0.6726582069 10:2.902665137
1 1:6134 2:148.5875626 3:53.16231427 4:0.9338042149 5:6223 6:88.37449501 7:0.7981782694 8:331.79 9:0.7002079717 10:2.7949792
0 1:10203 2:169.4856232 3:77.31894092 4:0.8898784835 5:10399 6:113.9774674 7:0.7827387802 8:401.74 9:0.7944153007 10:2.192032395
1 1:5854 2:153.2471431 3:49.76792416 4:0.945797844 5:6019 6:86.33391162 7:0.640831965 8:339.829 9:0.6370033365 10:3.079235183
1 1:6500 2:157.7294797 3:53.76494868 4:0.9401111295 5:6692 6:90.97283683 7:0.5488010807 8:352.136 9:0.658722302 10:2.933686046
0 1:8604 2:159.0289054 3:69.4502501 4:0.899600094 5:8762 6:104.6659116 7:0.5648634454 8:373.08 9:0.7767948356 10:2.289824805
0 1:9161 2:161.5647616 3:72.87187586 4:0.8925046561 5:9388 6:108.0006827 7:0.6579760109 8:385.978 9:0.7727297704 10:2.217107213
0 1:9547 2:164.9884555 3:74.39340293 4:0.8925741413 5:9704 6:110.2525189 7:0.5707197513 8:391.631 9:0.7822087386 10:2.217783419
0 1:8271 2:153.7887231 3:69.49109111 4:0.8920884726 5:8528 6:102.6204866 7:0.7613918807 8:367.162 9:0.7709965436 10:2.213071067
1 1:6723 2:160.1021238 3:54.02173221 4:0.9413540425 5:6857 6:92.52021109 7:0.5151724138 8:356.505 9:0.6647245594 10:2.963661424
1 1:6973 2:166.0804329 3:54.34867042 4:0.9449401962 5:7132 6:94.22472789 7:0.4580869794 8:368.286 9:0.6460395551 10:3.055832491
1 1:5257 2:136.2099988 3:50.18416917 4:0.9296545637 5:5392 6:81.81332585 7:0.7347309574 8:309.957 9:0.6876143689 10:2.714202528
0 1:8329 2:151.385771 3:71.37008738 4:0.8818953858 5:8560 6:102.9796687 7:0.6665866347 8:364.616 9:0.7872837391 10:2.121137532
